generations,population_size,mean_fitness,best_fitness,best_weight_item_proportion,standard_deviation,mean_time
25,50,1643.9333333333334,1858,50/13,121.66098616876141,0.08070419629414877
50,50,1927.9333333333334,2164,50/16,143.41569726575338,0.15307774543762206
100,50,2078.5333333333333,2213,50/15,97.1866703251474,0.3053028106689453
25,100,1793.3333333333333,2114,50/11,105.34493606982518,0.15706477959950765
50,100,2085.0666666666666,2260,50/15,107.00807861506948,0.30876683394114174
100,100,2203.1,2290,50/16,57.1666277939615,0.6221375226974487
